hero1,hero2
VIRGO/ELAINE MCLAUGH,LEO/DANIEL RADFORD
VIRGO/ELAINE MCLAUGH,CAPTAIN AMERICA
VIRGO/ELAINE MCLAUGH,BLACK PANTHER/T'CHAL
VIRGO/ELAINE MCLAUGH,MANTIS/? BRANDT
VIRGO/ELAINE MCLAUGH,SWORDSMAN/JACQUES DU
VIRGO/ELAINE MCLAUGH,AQUARIUS/DARREN BENT
AQUARIUS/DARREN BENT,GEMINI/JOSHUA LINK
AQUARIUS/DARREN BENT,LIBRA/GUSTAV BRANDT
AQUARIUS/DARREN BENT,SCORPIO/JAKE FURY
AQUARIUS/DARREN BENT,CAPRICORN/WILLARD WE
AQUARIUS/DARREN BENT,PISCES/NOAH PERRICON
AQUARIUS/DARREN BENT,SCARLET WITCH/WANDA
AQUARIUS/DARREN BENT,VISION
AQUARIUS/DARREN BENT,TAURUS/CORNELIUS VAN
AQUARIUS/DARREN BENT,LEO/DANIEL RADFORD
AQUARIUS/DARREN BENT,CAPTAIN AMERICA
AQUARIUS/DARREN BENT,BLACK PANTHER/T'CHAL
AQUARIUS/DARREN BENT,MANTIS/? BRANDT
AQUARIUS/DARREN BENT,SWORDSMAN/JACQUES DU
SWORDSMAN/JACQUES DU,GEMINI/JOSHUA LINK
SWORDSMAN/JACQUES DU,LIBRA/GUSTAV BRANDT
SWORDSMAN/JACQUES DU,SCORPIO/JAKE FURY
SWORDSMAN/JACQUES DU,CAPRICORN/WILLARD WE
SWORDSMAN/JACQUES DU,PISCES/NOAH PERRICON
SWORDSMAN/JACQUES DU,SCARLET WITCH/WANDA
SWORDSMAN/JACQUES DU,VISION
SWORDSMAN/JACQUES DU,TAURUS/CORNELIUS VAN
SWORDSMAN/JACQUES DU,LEO/DANIEL RADFORD
SWORDSMAN/JACQUES DU,CAPTAIN AMERICA
SWORDSMAN/JACQUES DU,BLACK PANTHER/T'CHAL
SWORDSMAN/JACQUES DU,MANTIS/? BRANDT
MANTIS/? BRANDT,GEMINI/JOSHUA LINK
MANTIS/? BRANDT,LIBRA/GUSTAV BRANDT
MANTIS/? BRANDT,SCORPIO/JAKE FURY
MANTIS/? BRANDT,CAPRICORN/WILLARD WE
MANTIS/? BRANDT,PISCES/NOAH PERRICON
MANTIS/? BRANDT,SCARLET WITCH/WANDA
MANTIS/? BRANDT,VISION
MANTIS/? BRANDT,TAURUS/CORNELIUS VAN
MANTIS/? BRANDT,LEO/DANIEL RADFORD
MANTIS/? BRANDT,CAPTAIN AMERICA
MANTIS/? BRANDT,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,GEMINI/JOSHUA LINK
BLACK PANTHER/T'CHAL,LIBRA/GUSTAV BRANDT
BLACK PANTHER/T'CHAL,SCORPIO/JAKE FURY
BLACK PANTHER/T'CHAL,CAPRICORN/WILLARD WE
BLACK PANTHER/T'CHAL,PISCES/NOAH PERRICON
BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA
BLACK PANTHER/T'CHAL,VISION
BLACK PANTHER/T'CHAL,TAURUS/CORNELIUS VAN
BLACK PANTHER/T'CHAL,LEO/DANIEL RADFORD
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
CAPTAIN AMERICA,GEMINI/JOSHUA LINK
CAPTAIN AMERICA,LIBRA/GUSTAV BRANDT
CAPTAIN AMERICA,SCORPIO/JAKE FURY
CAPTAIN AMERICA,CAPRICORN/WILLARD WE
CAPTAIN AMERICA,PISCES/NOAH PERRICON
CAPTAIN AMERICA,SCARLET WITCH/WANDA
CAPTAIN AMERICA,VISION
CAPTAIN AMERICA,TAURUS/CORNELIUS VAN
CAPTAIN AMERICA,LEO/DANIEL RADFORD
LEO/DANIEL RADFORD,GEMINI/JOSHUA LINK
LEO/DANIEL RADFORD,LIBRA/GUSTAV BRANDT
LEO/DANIEL RADFORD,SCORPIO/JAKE FURY
LEO/DANIEL RADFORD,CAPRICORN/WILLARD WE
LEO/DANIEL RADFORD,PISCES/NOAH PERRICON
LEO/DANIEL RADFORD,SCARLET WITCH/WANDA
LEO/DANIEL RADFORD,VISION
LEO/DANIEL RADFORD,TAURUS/CORNELIUS VAN
TAURUS/CORNELIUS VAN,GEMINI/JOSHUA LINK
TAURUS/CORNELIUS VAN,LIBRA/GUSTAV BRANDT
TAURUS/CORNELIUS VAN,SCORPIO/JAKE FURY
TAURUS/CORNELIUS VAN,CAPRICORN/WILLARD WE
TAURUS/CORNELIUS VAN,PISCES/NOAH PERRICON
TAURUS/CORNELIUS VAN,SCARLET WITCH/WANDA
TAURUS/CORNELIUS VAN,VISION
VISION,GEMINI/JOSHUA LINK
VISION,LIBRA/GUSTAV BRANDT
VISION,SCORPIO/JAKE FURY
VISION,CAPRICORN/WILLARD WE
VISION,PISCES/NOAH PERRICON
VISION,SCARLET WITCH/WANDA
SCARLET WITCH/WANDA,GEMINI/JOSHUA LINK
SCARLET WITCH/WANDA,LIBRA/GUSTAV BRANDT
SCARLET WITCH/WANDA,SCORPIO/JAKE FURY
SCARLET WITCH/WANDA,CAPRICORN/WILLARD WE
SCARLET WITCH/WANDA,PISCES/NOAH PERRICON
PISCES/NOAH PERRICON,GEMINI/JOSHUA LINK
PISCES/NOAH PERRICON,LIBRA/GUSTAV BRANDT
PISCES/NOAH PERRICON,SCORPIO/JAKE FURY
PISCES/NOAH PERRICON,CAPRICORN/WILLARD WE
CAPRICORN/WILLARD WE,GEMINI/JOSHUA LINK
CAPRICORN/WILLARD WE,LIBRA/GUSTAV BRANDT
CAPRICORN/WILLARD WE,SCORPIO/JAKE FURY
SCORPIO/JAKE FURY,GEMINI/JOSHUA LINK
SCORPIO/JAKE FURY,LIBRA/GUSTAV BRANDT
LIBRA/GUSTAV BRANDT,GEMINI/JOSHUA LINK
VIRGO/ELAINE MCLAUGH,LIBRA/GUSTAV BRANDT
VIRGO/ELAINE MCLAUGH,IRON MAN/TONY STARK
VIRGO/ELAINE MCLAUGH,THOR/DR. DONALD BLAK
VIRGO/ELAINE MCLAUGH,CANCER/JACK KLEVENO
VIRGO/ELAINE MCLAUGH,CAPRICORN/WILLARD WE
VIRGO/ELAINE MCLAUGH,MANTIS/? BRANDT
VIRGO/ELAINE MCLAUGH,AQUARIUS/DARREN BENT
VIRGO/ELAINE MCLAUGH,TAURUS/CORNELIUS VAN
VIRGO/ELAINE MCLAUGH,PISCES/NOAH PERRICON
VIRGO/ELAINE MCLAUGH,SCORPIO/JAKE FURY
VIRGO/ELAINE MCLAUGH,LEO/DANIEL RADFORD
VIRGO/ELAINE MCLAUGH,SCARLET WITCH/WANDA
VIRGO/ELAINE MCLAUGH,SWORDSMAN/JACQUES DU
VIRGO/ELAINE MCLAUGH,GEMINI/JOSHUA LINK
VIRGO/ELAINE MCLAUGH,"JARVIS, EDWIN"
VIRGO/ELAINE MCLAUGH,VISION
VIRGO/ELAINE MCLAUGH,SAGITTARIUS/HARLAN V
VIRGO/ELAINE MCLAUGH,ARIES II/GROVER RAYM
ARIES II/GROVER RAYM,LIBRA/GUSTAV BRANDT
ARIES II/GROVER RAYM,IRON MAN/TONY STARK
ARIES II/GROVER RAYM,THOR/DR. DONALD BLAK
ARIES II/GROVER RAYM,CANCER/JACK KLEVENO
ARIES II/GROVER RAYM,CAPRICORN/WILLARD WE
ARIES II/GROVER RAYM,MANTIS/? BRANDT
ARIES II/GROVER RAYM,AQUARIUS/DARREN BENT
ARIES II/GROVER RAYM,TAURUS/CORNELIUS VAN
ARIES II/GROVER RAYM,PISCES/NOAH PERRICON
ARIES II/GROVER RAYM,SCORPIO/JAKE FURY
ARIES II/GROVER RAYM,LEO/DANIEL RADFORD
ARIES II/GROVER RAYM,SCARLET WITCH/WANDA
ARIES II/GROVER RAYM,SWORDSMAN/JACQUES DU
ARIES II/GROVER RAYM,GEMINI/JOSHUA LINK
ARIES II/GROVER RAYM,"JARVIS, EDWIN"
ARIES II/GROVER RAYM,VISION
ARIES II/GROVER RAYM,SAGITTARIUS/HARLAN V
SAGITTARIUS/HARLAN V,LIBRA/GUSTAV BRANDT
SAGITTARIUS/HARLAN V,IRON MAN/TONY STARK
SAGITTARIUS/HARLAN V,THOR/DR. DONALD BLAK
SAGITTARIUS/HARLAN V,CANCER/JACK KLEVENO
SAGITTARIUS/HARLAN V,CAPRICORN/WILLARD WE
SAGITTARIUS/HARLAN V,MANTIS/? BRANDT
SAGITTARIUS/HARLAN V,AQUARIUS/DARREN BENT
SAGITTARIUS/HARLAN V,TAURUS/CORNELIUS VAN
SAGITTARIUS/HARLAN V,PISCES/NOAH PERRICON
SAGITTARIUS/HARLAN V,SCORPIO/JAKE FURY
SAGITTARIUS/HARLAN V,LEO/DANIEL RADFORD
SAGITTARIUS/HARLAN V,SCARLET WITCH/WANDA
SAGITTARIUS/HARLAN V,SWORDSMAN/JACQUES DU
SAGITTARIUS/HARLAN V,GEMINI/JOSHUA LINK
SAGITTARIUS/HARLAN V,"JARVIS, EDWIN"
SAGITTARIUS/HARLAN V,VISION
VISION,LIBRA/GUSTAV BRANDT
VISION,IRON MAN/TONY STARK
VISION,THOR/DR. DONALD BLAK
VISION,CANCER/JACK KLEVENO
VISION,CAPRICORN/WILLARD WE
VISION,MANTIS/? BRANDT
VISION,AQUARIUS/DARREN BENT
VISION,TAURUS/CORNELIUS VAN
VISION,PISCES/NOAH PERRICON
VISION,SCORPIO/JAKE FURY
VISION,LEO/DANIEL RADFORD
VISION,SCARLET WITCH/WANDA
VISION,SWORDSMAN/JACQUES DU
VISION,GEMINI/JOSHUA LINK
VISION,"JARVIS, EDWIN"
"JARVIS, EDWIN",LIBRA/GUSTAV BRANDT
"JARVIS, EDWIN",IRON MAN/TONY STARK
"JARVIS, EDWIN",THOR/DR. DONALD BLAK
"JARVIS, EDWIN",CANCER/JACK KLEVENO
"JARVIS, EDWIN",CAPRICORN/WILLARD WE
"JARVIS, EDWIN",MANTIS/? BRANDT
"JARVIS, EDWIN",AQUARIUS/DARREN BENT
"JARVIS, EDWIN",TAURUS/CORNELIUS VAN
"JARVIS, EDWIN",PISCES/NOAH PERRICON
"JARVIS, EDWIN",SCORPIO/JAKE FURY
"JARVIS, EDWIN",LEO/DANIEL RADFORD
"JARVIS, EDWIN",SCARLET WITCH/WANDA
"JARVIS, EDWIN",SWORDSMAN/JACQUES DU
"JARVIS, EDWIN",GEMINI/JOSHUA LINK
GEMINI/JOSHUA LINK,LIBRA/GUSTAV BRANDT
GEMINI/JOSHUA LINK,IRON MAN/TONY STARK
GEMINI/JOSHUA LINK,THOR/DR. DONALD BLAK
GEMINI/JOSHUA LINK,CANCER/JACK KLEVENO
GEMINI/JOSHUA LINK,CAPRICORN/WILLARD WE
GEMINI/JOSHUA LINK,MANTIS/? BRANDT
GEMINI/JOSHUA LINK,AQUARIUS/DARREN BENT
GEMINI/JOSHUA LINK,TAURUS/CORNELIUS VAN
GEMINI/JOSHUA LINK,PISCES/NOAH PERRICON
GEMINI/JOSHUA LINK,SCORPIO/JAKE FURY
GEMINI/JOSHUA LINK,LEO/DANIEL RADFORD
GEMINI/JOSHUA LINK,SCARLET WITCH/WANDA
GEMINI/JOSHUA LINK,SWORDSMAN/JACQUES DU
SWORDSMAN/JACQUES DU,LIBRA/GUSTAV BRANDT
SWORDSMAN/JACQUES DU,IRON MAN/TONY STARK
SWORDSMAN/JACQUES DU,THOR/DR. DONALD BLAK
SWORDSMAN/JACQUES DU,CANCER/JACK KLEVENO
SWORDSMAN/JACQUES DU,CAPRICORN/WILLARD WE
SWORDSMAN/JACQUES DU,MANTIS/? BRANDT
SWORDSMAN/JACQUES DU,AQUARIUS/DARREN BENT
SWORDSMAN/JACQUES DU,TAURUS/CORNELIUS VAN
SWORDSMAN/JACQUES DU,PISCES/NOAH PERRICON
SWORDSMAN/JACQUES DU,SCORPIO/JAKE FURY
SWORDSMAN/JACQUES DU,LEO/DANIEL RADFORD
SWORDSMAN/JACQUES DU,SCARLET WITCH/WANDA
SCARLET WITCH/WANDA,LIBRA/GUSTAV BRANDT
SCARLET WITCH/WANDA,IRON MAN/TONY STARK
SCARLET WITCH/WANDA,THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA,CANCER/JACK KLEVENO
SCARLET WITCH/WANDA,CAPRICORN/WILLARD WE
SCARLET WITCH/WANDA,MANTIS/? BRANDT
SCARLET WITCH/WANDA,AQUARIUS/DARREN BENT
SCARLET WITCH/WANDA,TAURUS/CORNELIUS VAN
SCARLET WITCH/WANDA,PISCES/NOAH PERRICON
SCARLET WITCH/WANDA,SCORPIO/JAKE FURY
SCARLET WITCH/WANDA,LEO/DANIEL RADFORD
LEO/DANIEL RADFORD,LIBRA/GUSTAV BRANDT
LEO/DANIEL RADFORD,IRON MAN/TONY STARK
LEO/DANIEL RADFORD,THOR/DR. DONALD BLAK
LEO/DANIEL RADFORD,CANCER/JACK KLEVENO
LEO/DANIEL RADFORD,CAPRICORN/WILLARD WE
LEO/DANIEL RADFORD,MANTIS/? BRANDT
LEO/DANIEL RADFORD,AQUARIUS/DARREN BENT
LEO/DANIEL RADFORD,TAURUS/CORNELIUS VAN
LEO/DANIEL RADFORD,PISCES/NOAH PERRICON
LEO/DANIEL RADFORD,SCORPIO/JAKE FURY
SCORPIO/JAKE FURY,LIBRA/GUSTAV BRANDT
SCORPIO/JAKE FURY,IRON MAN/TONY STARK
SCORPIO/JAKE FURY,THOR/DR. DONALD BLAK
SCORPIO/JAKE FURY,CANCER/JACK KLEVENO
SCORPIO/JAKE FURY,CAPRICORN/WILLARD WE
SCORPIO/JAKE FURY,MANTIS/? BRANDT
SCORPIO/JAKE FURY,AQUARIUS/DARREN BENT
SCORPIO/JAKE FURY,TAURUS/CORNELIUS VAN
SCORPIO/JAKE FURY,PISCES/NOAH PERRICON
PISCES/NOAH PERRICON,LIBRA/GUSTAV BRANDT
PISCES/NOAH PERRICON,IRON MAN/TONY STARK
PISCES/NOAH PERRICON,THOR/DR. DONALD BLAK
PISCES/NOAH PERRICON,CANCER/JACK KLEVENO
PISCES/NOAH PERRICON,CAPRICORN/WILLARD WE
PISCES/NOAH PERRICON,MANTIS/? BRANDT
PISCES/NOAH PERRICON,AQUARIUS/DARREN BENT
PISCES/NOAH PERRICON,TAURUS/CORNELIUS VAN
TAURUS/CORNELIUS VAN,LIBRA/GUSTAV BRANDT
TAURUS/CORNELIUS VAN,IRON MAN/TONY STARK
TAURUS/CORNELIUS VAN,THOR/DR. DONALD BLAK
TAURUS/CORNELIUS VAN,CANCER/JACK KLEVENO
TAURUS/CORNELIUS VAN,CAPRICORN/WILLARD WE
TAURUS/CORNELIUS VAN,MANTIS/? BRANDT
TAURUS/CORNELIUS VAN,AQUARIUS/DARREN BENT
AQUARIUS/DARREN BENT,LIBRA/GUSTAV BRANDT
AQUARIUS/DARREN BENT,IRON MAN/TONY STARK
AQUARIUS/DARREN BENT,THOR/DR. DONALD BLAK
AQUARIUS/DARREN BENT,CANCER/JACK KLEVENO
AQUARIUS/DARREN BENT,CAPRICORN/WILLARD WE
AQUARIUS/DARREN BENT,MANTIS/? BRANDT
MANTIS/? BRANDT,LIBRA/GUSTAV BRANDT
MANTIS/? BRANDT,IRON MAN/TONY STARK
MANTIS/? BRANDT,THOR/DR. DONALD BLAK
MANTIS/? BRANDT,CANCER/JACK KLEVENO
MANTIS/? BRANDT,CAPRICORN/WILLARD WE
CAPRICORN/WILLARD WE,LIBRA/GUSTAV BRANDT
CAPRICORN/WILLARD WE,IRON MAN/TONY STARK
CAPRICORN/WILLARD WE,THOR/DR. DONALD BLAK
CAPRICORN/WILLARD WE,CANCER/JACK KLEVENO
CANCER/JACK KLEVENO,LIBRA/GUSTAV BRANDT
CANCER/JACK KLEVENO,IRON MAN/TONY STARK
CANCER/JACK KLEVENO,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,LIBRA/GUSTAV BRANDT
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK
IRON MAN/TONY STARK,LIBRA/GUSTAV BRANDT
SWORDSMAN/JACQUES DU,CRYSTAL [INHUMAN]
SWORDSMAN/JACQUES DU,KARNAK [INHUMAN]
SWORDSMAN/JACQUES DU,"HARKNESS, AGATHA"
SWORDSMAN/JACQUES DU,LOCKJAW [INHUMAN]
SWORDSMAN/JACQUES DU,MAXIMUS [INHUMAN]
SWORDSMAN/JACQUES DU,BLACK BOLT/BLACKANTO
SWORDSMAN/JACQUES DU,GORGON [INHUMAN]
SWORDSMAN/JACQUES DU,MANTIS/? BRANDT
SWORDSMAN/JACQUES DU,TRITON
SWORDSMAN/JACQUES DU,ULTRON
SWORDSMAN/JACQUES DU,IRON MAN/TONY STARK
SWORDSMAN/JACQUES DU,SCARLET WITCH/WANDA
SWORDSMAN/JACQUES DU,MR. FANTASTIC/REED R
SWORDSMAN/JACQUES DU,HUMAN TORCH/JOHNNY S
SWORDSMAN/JACQUES DU,THOR/DR. DONALD BLAK
SWORDSMAN/JACQUES DU,VISION
SWORDSMAN/JACQUES DU,"JARVIS, EDWIN"
SWORDSMAN/JACQUES DU,THING/BENJAMIN J. GR
SWORDSMAN/JACQUES DU,INVISIBLE WOMAN/SUE
SWORDSMAN/JACQUES DU,"RICHARDS, FRANKLIN B"
SWORDSMAN/JACQUES DU,QUICKSILVER/PIETRO M
SWORDSMAN/JACQUES DU,MEDUSA/MEDUSALITH AM
MEDUSA/MEDUSALITH AM,CRYSTAL [INHUMAN]
MEDUSA/MEDUSALITH AM,KARNAK [INHUMAN]
MEDUSA/MEDUSALITH AM,"HARKNESS, AGATHA"
MEDUSA/MEDUSALITH AM,LOCKJAW [INHUMAN]
MEDUSA/MEDUSALITH AM,MAXIMUS [INHUMAN]
MEDUSA/MEDUSALITH AM,BLACK BOLT/BLACKANTO
MEDUSA/MEDUSALITH AM,GORGON [INHUMAN]
MEDUSA/MEDUSALITH AM,MANTIS/? BRANDT
MEDUSA/MEDUSALITH AM,TRITON
MEDUSA/MEDUSALITH AM,ULTRON
MEDUSA/MEDUSALITH AM,IRON MAN/TONY STARK
MEDUSA/MEDUSALITH AM,SCARLET WITCH/WANDA
MEDUSA/MEDUSALITH AM,MR. FANTASTIC/REED R
MEDUSA/MEDUSALITH AM,HUMAN TORCH/JOHNNY S
MEDUSA/MEDUSALITH AM,THOR/DR. DONALD BLAK
MEDUSA/MEDUSALITH AM,VISION
MEDUSA/MEDUSALITH AM,"JARVIS, EDWIN"
MEDUSA/MEDUSALITH AM,THING/BENJAMIN J. GR
MEDUSA/MEDUSALITH AM,INVISIBLE WOMAN/SUE
MEDUSA/MEDUSALITH AM,"RICHARDS, FRANKLIN B"
MEDUSA/MEDUSALITH AM,QUICKSILVER/PIETRO M
QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN]
QUICKSILVER/PIETRO M,KARNAK [INHUMAN]
QUICKSILVER/PIETRO M,"HARKNESS, AGATHA"
QUICKSILVER/PIETRO M,LOCKJAW [INHUMAN]
QUICKSILVER/PIETRO M,MAXIMUS [INHUMAN]
QUICKSILVER/PIETRO M,BLACK BOLT/BLACKANTO
QUICKSILVER/PIETRO M,GORGON [INHUMAN]
QUICKSILVER/PIETRO M,MANTIS/? BRANDT
QUICKSILVER/PIETRO M,TRITON
QUICKSILVER/PIETRO M,ULTRON
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK
QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA
QUICKSILVER/PIETRO M,MR. FANTASTIC/REED R
QUICKSILVER/PIETRO M,HUMAN TORCH/JOHNNY S
QUICKSILVER/PIETRO M,THOR/DR. DONALD BLAK
QUICKSILVER/PIETRO M,VISION
QUICKSILVER/PIETRO M,"JARVIS, EDWIN"
QUICKSILVER/PIETRO M,THING/BENJAMIN J. GR
QUICKSILVER/PIETRO M,INVISIBLE WOMAN/SUE
QUICKSILVER/PIETRO M,"RICHARDS, FRANKLIN B"
"RICHARDS, FRANKLIN B",CRYSTAL [INHUMAN]
"RICHARDS, FRANKLIN B",KARNAK [INHUMAN]
"RICHARDS, FRANKLIN B","HARKNESS, AGATHA"
"RICHARDS, FRANKLIN B",LOCKJAW [INHUMAN]
"RICHARDS, FRANKLIN B",MAXIMUS [INHUMAN]
"RICHARDS, FRANKLIN B",BLACK BOLT/BLACKANTO
"RICHARDS, FRANKLIN B",GORGON [INHUMAN]
"RICHARDS, FRANKLIN B",MANTIS/? BRANDT
"RICHARDS, FRANKLIN B",TRITON
"RICHARDS, FRANKLIN B",ULTRON
"RICHARDS, FRANKLIN B",IRON MAN/TONY STARK
"RICHARDS, FRANKLIN B",SCARLET WITCH/WANDA
"RICHARDS, FRANKLIN B",MR. FANTASTIC/REED R
"RICHARDS, FRANKLIN B",HUMAN TORCH/JOHNNY S
"RICHARDS, FRANKLIN B",THOR/DR. DONALD BLAK
"RICHARDS, FRANKLIN B",VISION
"RICHARDS, FRANKLIN B","JARVIS, EDWIN"
"RICHARDS, FRANKLIN B",THING/BENJAMIN J. GR
"RICHARDS, FRANKLIN B",INVISIBLE WOMAN/SUE
INVISIBLE WOMAN/SUE,CRYSTAL [INHUMAN]
INVISIBLE WOMAN/SUE,KARNAK [INHUMAN]
INVISIBLE WOMAN/SUE,"HARKNESS, AGATHA"
INVISIBLE WOMAN/SUE,LOCKJAW [INHUMAN]
INVISIBLE WOMAN/SUE,MAXIMUS [INHUMAN]
INVISIBLE WOMAN/SUE,BLACK BOLT/BLACKANTO
INVISIBLE WOMAN/SUE,GORGON [INHUMAN]
INVISIBLE WOMAN/SUE,MANTIS/? BRANDT
INVISIBLE WOMAN/SUE,TRITON
INVISIBLE WOMAN/SUE,ULTRON
INVISIBLE WOMAN/SUE,IRON MAN/TONY STARK
INVISIBLE WOMAN/SUE,SCARLET WITCH/WANDA
INVISIBLE WOMAN/SUE,MR. FANTASTIC/REED R
INVISIBLE WOMAN/SUE,HUMAN TORCH/JOHNNY S
INVISIBLE WOMAN/SUE,THOR/DR. DONALD BLAK
INVISIBLE WOMAN/SUE,VISION
INVISIBLE WOMAN/SUE,"JARVIS, EDWIN"
INVISIBLE WOMAN/SUE,THING/BENJAMIN J. GR
THING/BENJAMIN J. GR,CRYSTAL [INHUMAN]
THING/BENJAMIN J. GR,KARNAK [INHUMAN]
THING/BENJAMIN J. GR,"HARKNESS, AGATHA"
THING/BENJAMIN J. GR,LOCKJAW [INHUMAN]
THING/BENJAMIN J. GR,MAXIMUS [INHUMAN]
THING/BENJAMIN J. GR,BLACK BOLT/BLACKANTO
THING/BENJAMIN J. GR,GORGON [INHUMAN]
THING/BENJAMIN J. GR,MANTIS/? BRANDT
THING/BENJAMIN J. GR,TRITON
THING/BENJAMIN J. GR,ULTRON
THING/BENJAMIN J. GR,IRON MAN/TONY STARK
THING/BENJAMIN J. GR,SCARLET WITCH/WANDA
THING/BENJAMIN J. GR,MR. FANTASTIC/REED R
THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
THING/BENJAMIN J. GR,THOR/DR. DONALD BLAK
THING/BENJAMIN J. GR,VISION
THING/BENJAMIN J. GR,"JARVIS, EDWIN"
"JARVIS, EDWIN",CRYSTAL [INHUMAN]
"JARVIS, EDWIN",KARNAK [INHUMAN]
"JARVIS, EDWIN","HARKNESS, AGATHA"
"JARVIS, EDWIN",LOCKJAW [INHUMAN]
"JARVIS, EDWIN",MAXIMUS [INHUMAN]
"JARVIS, EDWIN",BLACK BOLT/BLACKANTO
"JARVIS, EDWIN",GORGON [INHUMAN]
"JARVIS, EDWIN",MANTIS/? BRANDT
"JARVIS, EDWIN",TRITON
"JARVIS, EDWIN",ULTRON
"JARVIS, EDWIN",IRON MAN/TONY STARK
"JARVIS, EDWIN",SCARLET WITCH/WANDA
"JARVIS, EDWIN",MR. FANTASTIC/REED R
"JARVIS, EDWIN",HUMAN TORCH/JOHNNY S
"JARVIS, EDWIN",THOR/DR. DONALD BLAK
"JARVIS, EDWIN",VISION
VISION,CRYSTAL [INHUMAN]
VISION,KARNAK [INHUMAN]
VISION,"HARKNESS, AGATHA"
VISION,LOCKJAW [INHUMAN]
VISION,MAXIMUS [INHUMAN]
VISION,BLACK BOLT/BLACKANTO
VISION,GORGON [INHUMAN]
VISION,MANTIS/? BRANDT
VISION,TRITON
VISION,ULTRON
VISION,IRON MAN/TONY STARK
VISION,SCARLET WITCH/WANDA
VISION,MR. FANTASTIC/REED R
VISION,HUMAN TORCH/JOHNNY S
VISION,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CRYSTAL [INHUMAN]
THOR/DR. DONALD BLAK,KARNAK [INHUMAN]
THOR/DR. DONALD BLAK,"HARKNESS, AGATHA"
THOR/DR. DONALD BLAK,LOCKJAW [INHUMAN]
THOR/DR. DONALD BLAK,MAXIMUS [INHUMAN]
THOR/DR. DONALD BLAK,BLACK BOLT/BLACKANTO
THOR/DR. DONALD BLAK,GORGON [INHUMAN]
THOR/DR. DONALD BLAK,MANTIS/? BRANDT
THOR/DR. DONALD BLAK,TRITON
THOR/DR. DONALD BLAK,ULTRON
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA
THOR/DR. DONALD BLAK,MR. FANTASTIC/REED R
THOR/DR. DONALD BLAK,HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S,CRYSTAL [INHUMAN]
HUMAN TORCH/JOHNNY S,KARNAK [INHUMAN]
HUMAN TORCH/JOHNNY S,"HARKNESS, AGATHA"
HUMAN TORCH/JOHNNY S,LOCKJAW [INHUMAN]
HUMAN TORCH/JOHNNY S,MAXIMUS [INHUMAN]
HUMAN TORCH/JOHNNY S,BLACK BOLT/BLACKANTO
HUMAN TORCH/JOHNNY S,GORGON [INHUMAN]
HUMAN TORCH/JOHNNY S,MANTIS/? BRANDT
HUMAN TORCH/JOHNNY S,TRITON
HUMAN TORCH/JOHNNY S,ULTRON
HUMAN TORCH/JOHNNY S,IRON MAN/TONY STARK
HUMAN TORCH/JOHNNY S,SCARLET WITCH/WANDA
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
MR. FANTASTIC/REED R,CRYSTAL [INHUMAN]
MR. FANTASTIC/REED R,KARNAK [INHUMAN]
MR. FANTASTIC/REED R,"HARKNESS, AGATHA"
MR. FANTASTIC/REED R,LOCKJAW [INHUMAN]
MR. FANTASTIC/REED R,MAXIMUS [INHUMAN]
MR. FANTASTIC/REED R,BLACK BOLT/BLACKANTO
MR. FANTASTIC/REED R,GORGON [INHUMAN]
MR. FANTASTIC/REED R,MANTIS/? BRANDT
MR. FANTASTIC/REED R,TRITON
MR. FANTASTIC/REED R,ULTRON
MR. FANTASTIC/REED R,IRON MAN/TONY STARK
MR. FANTASTIC/REED R,SCARLET WITCH/WANDA
SCARLET WITCH/WANDA,CRYSTAL [INHUMAN]
SCARLET WITCH/WANDA,KARNAK [INHUMAN]
SCARLET WITCH/WANDA,"HARKNESS, AGATHA"
SCARLET WITCH/WANDA,LOCKJAW [INHUMAN]
SCARLET WITCH/WANDA,MAXIMUS [INHUMAN]
SCARLET WITCH/WANDA,BLACK BOLT/BLACKANTO
SCARLET WITCH/WANDA,GORGON [INHUMAN]
SCARLET WITCH/WANDA,MANTIS/? BRANDT
SCARLET WITCH/WANDA,TRITON
SCARLET WITCH/WANDA,ULTRON
SCARLET WITCH/WANDA,IRON MAN/TONY STARK
IRON MAN/TONY STARK,CRYSTAL [INHUMAN]
IRON MAN/TONY STARK,KARNAK [INHUMAN]
IRON MAN/TONY STARK,"HARKNESS, AGATHA"
IRON MAN/TONY STARK,LOCKJAW [INHUMAN]
IRON MAN/TONY STARK,MAXIMUS [INHUMAN]
IRON MAN/TONY STARK,BLACK BOLT/BLACKANTO
IRON MAN/TONY STARK,GORGON [INHUMAN]
